BRANCH_NAME,FREEZE_DT,CUSTOMER_CLASS,year,month,day,Amount,Accounts,Main_Branch
أبو عريش,1/1/2023,COM,2023,1,1,19.62,1,Abu Arish
أبو عريش,1/1/2023,RES,2023,1,1,16239.7,136,Abu Arish
أبو عريش,1/2/2023,COM,2023,1,2,385.26,2,Abu Arish
أبو عريش,1/2/2023,RES,2023,1,2,16906.91,107,Abu Arish
أبو عريش,1/3/2023,COM,2023,1,3,190.02,2,Abu Arish
أبو عريش,1/3/2023,RES,2023,1,3,13608.12,68,Abu Arish
أبو عريش,1/4/2023,COM,2023,1,4,62.11,2,Abu Arish
أبو عريش,1/4/2023,GOVT,2023,1,4,204.08,1,Abu Arish
أبو عريش,1/4/2023,RES,2023,1,4,8758.97,65,Abu Arish
أبو عريش,1/5/2023,COM,2023,1,5,395.7,2,Abu Arish
أبو عريش,1/5/2023,GOVT,2023,1,5,6775.55,25,Abu Arish
أبو عريش,1/5/2023,RES,2023,1,5,8487.54,31,Abu Arish
أبو عريش,1/6/2023,RES,2023,1,6,10561.9,45,Abu Arish
أبو عريش,1/7/2023,COM,2023,1,7,4230.22,2,Abu Arish
أبو عريش,1/7/2023,RES,2023,1,7,3267.81,27,Abu Arish
أبو عريش,1/8/2023,COM,2023,1,8,54.75,2,Abu Arish
أبو عريش,1/8/2023,GOVT,2023,1,8,599.39,10,Abu Arish
أبو عريش,1/8/2023,RES,2023,1,8,8379.52,33,Abu Arish
أبو عريش,1/9/2023,COM,2023,1,9,179.03,6,Abu Arish
أبو عريش,1/9/2023,GOVT,2023,1,9,315676.74,4,Abu Arish
أبو عريش,1/9/2023,RES,2023,1,9,27557.55,352,Abu Arish
أبو عريش,1/10/2023,COM,2023,1,10,2075.46,7,Abu Arish
أبو عريش,1/10/2023,RES,2023,1,10,17674.47,227,Abu Arish
أبو عريش,1/11/2023,COM,2023,1,11,110.68,4,Abu Arish
أبو عريش,1/11/2023,RES,2023,1,11,30551.38,433,Abu Arish
